date,LME Copper Cash-Settlement,LME Copper 3-month,LME Copper stock
31. December 2009,7346.00,7377.00,502325
30. December 2009,7295.00,7321.50,495950
29. December 2009,7221.00,7261.00,485925
24. December 2009,7070.00,7100.50,484800
23. December 2009,6901.00,6945.00,482775
22. December 2009,6856.00,6900.00,480900
21. December 2009,6880.00,6905.00,479450
18. December 2009,6841.00,6895.00,476350
17. December 2009,6900.50,6950.00,474575
16. December 2009,6946.00,6995.50,473275
15. December 2009,6800.50,6846.00,470800
14. December 2009,6920.00,6925.00,467150
11. December 2009,6871.00,6915.00,466075
10. December 2009,6810.00,6835.00,461625
09. December 2009,6935.00,6970.00,458500
08. December 2009,6960.50,7005.00,453300
07. December 2009,6920.50,6963.00,452550
04. December 2009,7026.00,7070.00,446075
03. December 2009,7071.00,7100.50,445400
02. December 2009,7055.00,7080.00,443000
01. December 2009,6990.00,7016.00,441000
date,LME Copper Cash-Settlement,LME Copper 3-month,LME Copper stock
30. November 2009,6814.50,6832.00,438525
27. November 2009,6755.00,6771.00,435075
26. November 2009,6904.50,6935.00,432075
25. November 2009,6914.00,6937.00,431600
24. November 2009,6865.00,6900.00,429650
23. November 2009,6945.50,6970.00,424925
20. November 2009,6731.00,6760.00,421875
19. November 2009,6761.00,6791.00,420550
18. November 2009,6926.00,6950.50,414100
17. November 2009,6761.00,6790.50,410000
16. November 2009,6700.50,6705.00,406450
13. November 2009,6500.00,6512.00,403625
12. November 2009,6475.00,6490.00,402125
11. November 2009,6595.50,6621.50,397325
10. November 2009,6475.00,6488.00,394150
09. November 2009,6565.00,6585.00,389475
06. November 2009,6532.00,6561.00,385575
05. November 2009,6527.50,6552.00,379825
04. November 2009,6571.00,6591.00,374050
03. November 2009,6395.50,6416.00,373800
02. November 2009,6473.00,6502.00,372175
date,LME Copper Cash-Settlement,LME Copper 3-month,LME Copper stock
30. October 2009,6575.00,6580.50,372200
29. October 2009,6424.50,6455.00,371400
28. October 2009,6475.00,6505.00,371725
